rule,rep_num,cycle_length
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
1,0,2
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
2,0,65
2,1,65
2,2,65
2,3,65
2,4,65
2,5,65
2,6,65
2,7,65
2,8,65
2,9,65
3,0,130
3,1,130
3,2,130
3,3,130
3,4,130
3,5,130
3,6,130
3,7,130
3,8,130
3,9,130
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
5,0,2
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,2
5,7,2
5,8,2
5,9,2
6,0,130
6,1,130
6,2,130
6,3,130
6,4,130
6,5,130
6,6,130
6,7,130
6,8,130
6,9,130
7,0,130
7,1,130
7,2,130
7,3,130
7,4,130
7,5,130
7,6,130
7,7,130
7,8,130
7,9,130
8,0,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
9,0,130
9,1,130
9,2,130
9,3,130
9,4,130
9,5,130
9,6,130
9,7,130
9,8,130
9,9,130
10,0,65
10,1,65
10,2,65
10,3,65
10,4,65
10,5,65
10,6,65
10,7,65
10,8,65
10,9,65
11,0,130
11,1,130
11,2,130
11,3,130
11,4,130
11,5,130
11,6,130
11,7,130
11,8,130
11,9,130
12,0,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
14,0,130
14,1,65
14,2,65
14,3,65
14,4,130
14,5,130
14,6,65
14,7,130
14,8,65
14,9,65
15,0,130
15,1,130
15,2,130
15,3,130
15,4,130
15,5,130
15,6,130
15,7,130
15,8,130
15,9,130
16,0,65
16,1,65
16,2,65
16,3,65
16,4,65
16,5,65
16,6,65
16,7,65
